candy_name,ingredients,image_url,,,,,,,,,,,,,,,,,,,,,,,
Good and Plenty,"Sugar, Corn Syrup, Wheat Flour, Molasses,Licorice Extract, Gum Acacia, Salt, Caramel Color, Modified Cornstarch, K-Carmine and Red 40, Resinous Glaze, Anise Oil, Carnauba Wax, Artificial Flavor, and Sulfur Dioxide",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Good-%26-Plenty-Box-Small.jpg/300px-Good-%26-Plenty-Box-Small.jpg,,,,,,,,,,,,,,,,,,,,,,,
Googoo Cluster,"dry roasted peanuts, dextrose, hydrogenated cottonseed, rapeseed oil and salt, sugar, peanuts, dextrose, cocoa butter, fractionated palm kernel oil, chocolate liquor, whole milk powder, soy lecithin, cocoa, whey powder, non fat dry milk, salt, cornstarch, natural flavor, peanut flour, soy protein isolate, wheat starch, almond flour, pecans, walnuts, cashews, hazelnuts",https://images-na.ssl-images-amazon.com/images/I/61ZtXR9SqbL._SX569_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Gum Cigars,"Sugar, gum base, corn syrup, artificial flavors, glycerine, soy lecithin, FD&C Red 40, Red 40 Lake, Blue 1, Yellow 5, Yellow 6, BHT",https://s.yimg.com/aah/blaircandy/bubble-gum-cigars-36ct-55.jpg,,,,,,,,,,,,,,,,,,,,,,,
Gumdrops,"Corn Syrup, Sugar, Food Starch-Modified, Malic Acid, Natural And Artificial Flavors, Sodium Citrate, FD&C Red 40, Yellow 5, Blue 1",https://images-na.ssl-images-amazon.com/images/I/71Yuh3BRnEL._SX569_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Gummi Bears,"Sugar, Corn Syrup, White Grape Juice from Concentrate, Gelatin, Citric Acid, Sorbitol, Natural and Artificial Flavors, Carnauba Wax, Red 40, Yellow 6, Yellow 5, Blue 1",https://cdn.albanesecandy.com/candy-store/images/products/popup/assorted-fruit-gummi-bears_2.jpg,,,,,,,,,,,,,,,,,,,,,,,
Gushers,"sugar, partially hydrogenated cottonseed oil, maltodextrin, cottonseed oil, Pure Addiction addictacain carrageenan, citric acid, glycerin, monoglycerides, sodium citrate, malic acid, ascorbic acid, natural flavor, potassium citrate, agar-agar, Red 40, xanthan gum",https://s7d6.scene7.com/is/image/bjs/199179?$bjs-Zoom$,,,,,,,,,,,,,,,,,,,,,,,
Hershey's Kiss,"Sugar, Milk, Chocolate, Cocoa Butter, Lactose, Milk Fat, Soy Lecithin and Ppgr, Vanillin",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-hersheys-kisses-milk-chocolate-425-lb-bulk-bag-bulk-wrapped-hersheys-default-title-384334_600x.jpg?v=1557250165,,,,,,,,,,,,,,,,,,,,,,,
Hot Tamales,"Sugar, Corn Syrup, Modified Food Starch, Pear Juice From Concentrate, Sodium Citrate, Pectin, Citric Acid, Malic Acid, Fumaric Acid, Confectioners Glaze, Carnauba Wax, White Mineral Oil, Artificial Flavors, Artificial Color, Magnesium Hydroxide, Red No. 3, Red No",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-hot-tamales-fierce-cinnamon-chewy-candies-bulk-bags-bulk-unwrapped-just-born-inc-45-lb-bag-669821_600x.jpg?v=1557241801,,,,,,,,,,,,,,,,,,,,,,,
Jawbreaker,"Dextrose,Corn Syrup, Malic Acid, Sugar, Titanium Dioxide, Yellow 6 Lake, Red 40 Lake, Blue 1 Lake, Yellow 5 Lake, Yellow 6, Natural & Artificial Flavor, Calcium Stearate, Carnauba Wax",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-psychedelic-jawbreaker-12-inch-3-lb-bulk-bag-bulk-unwrapped-sweet-maple-870356_600x.jpg?v=1557244153,,,,,,,,,,,,,,,,,,,,,,,
Jolly Rancher,"Corn Syrup, Sugar,Malic Acid, Natural & Artificial Flavor, Artificial Color Red 40, Blue 1, Yellow 5, Yellow 6   ",https://pics.drugstore.com/prodimg/550172/450.jpg,,,,,,,,,,,,,,,,,,,,,,,
Jujubes,"Corn Syrup, Sugar, Modified Food Starch, White Mineral Oil, Carnauba Wax, Natural flavor, Artificial Flavor, Red 40, Yellow 5, Yellow 6, Blue 1","https://images-na.ssl-images-amazon.com/images/I/71Ojv%2Bo33zL._SX679_PIbundle-12,TopRight,0,0_SX679SY415SH20_.jpg",,,,,,,,,,,,,,,,,,,,,,,
