candy_name,ingredients
Violet Crumble,"Sugar, Nonfat Milk, Cocoa Butter, Chocolate, Milk Fat, Lactose, Lecithin , PGPR Emulsifier, Vanillin Artificial Flavor, Sugar, Corn Syrup, High Fructose Corn Syrup, Palm Kernel Oil, Soybean Oil, Nonfat Milk, "
Xtra Care Gum," SORBITOL, GUM BASE, XYLITOL, GLYCERIN, NATURAL AND ARTIFICIAL FLAVORING, MANNITOL, ACESULFAME POTASSIUM, ASPARTAME, BHT, BLUE 1 LAKE, CALCIUM CASEIN PEPTONE-CALCIUM PHOSPHATE , SOY LECITHIN, YELLOW 5 LAKE"
Xtremes,"Sugar, Nonfat Milk, Cocoa Butter, Chocolate, Milk Fat, Lactose, Lecithin, PGPR Emulsifier, Vanillin Artificial Flavor, Sugar, Corn Syrup, High Fructose Corn Syrup, Palm Kernel Oil, Soybean Oil, Nonfat Milk,"
Yorkie,"Sugar, Dried Whole Milk, Cocoa Butter, Cocoa Vegetable Oil, Whey Powder, Lactose, Emulsifiers (Sunflower Lecithin, Polyglycerol Polyricinoleate) Butterfat, Vanilla."
Hershey's Cookies N' Creme,"Sugar, Dried Whole Milk, Cocoa Butter, Cocoa Vegetable Oil, Whey Powder, LactoseSunflower Lecithin, Polyglycerol Polyricinoleate, Butterfat, Vanilla"
Pretzel M&Ms,"sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, soy lecithin, salt, artificial flavors, sugar, cornstarch, corn syrup, dextrin, blue 1 lake, red 40 lake, yellow 6, yellow 5, red 40, blue 1, blue 2 lake, yellow 6 lake, yellow 5 lake, blue 2, gum acacia, peanuts"
Birthday Cake M&Ms,"SUGAR, CHOCOLATE, SKIM MILK, COCOA BUTTER, LACTOSE, MILKFAT, SOY LECITHIN, SALT, ARTIFICIAL FLAVORS, SUGAR, CORNSTARCH, CORN SYRUP, DEXTRIN, BLUE 1 LAKE, RED 40, YELLOW 5, BLUE 1, RED 40 LAKE, YELLOW 5 LAKE, YELLOW 6, YELLOW 6 LAKE, BLUE 2, BLUE 2 LAKE, ARTIFICIAL AND NATURAL FLAVORS, GUM ACACIA."
Pumpkin Spice M&Ms,"sugar, Cocoa Butter, Skim Milk, Milkfat, Soy Lecithin, Salt, Natural Flavor, Sugar, Cornstarch, corn Syrup, Dextrin, Yellow 6, Yellow 5, Red 40, Blue 1, Blue 2, Red 40 Lake, Yellow 6 Lake, Carnauba Wax, Natural Flavor, Gum Acacia
"
Kitkat,"sugar, wheat flour, cocoa butter, nonfat milk, chocolate, refined palm kernel oil, lactose, milk fat, soy lecithin, PGP, yeast, artificial flavor, salt, sodium bicarbonate"
3 Musketeers Mint Bites,"SUGAR, CHOCOLATE PROCESSED WITH ALKALI, CHOCOLATE, COCOA BUTTER, MILKFAT, SOY LECITHIN, ARTIFICIAL AND NATURAL FLAVORS, SUGAR, CORN SYRUP, HYDROGENATED PALM KERNEL OIL AND/OR PALM OIL, SALT, EGG WHITES, NATURAL AND ARTIFICIAL FLAVORS"
Milky Way Marshmallow,"SUGAR, COCOA BUTTER, SKIM MILK, CHOCOLATE, LACTOSE, MILKFAT, SOY LECITHIN, ARTIFICIAL FLAVOR, CORN SYRUP, SUGAR, HYDROGENATED PALM KERNEL OIL AND/OR PALM OIL, SKIM MILK, MILKFAT, COCOA POWDER PROCESSED WITH ALKALI, MALTED BARLEY, LACTOSE, SALT, EGG WHITES, CHOCOLATE, ARTIFICIAL FLAVOR"
Milky Way Midnight Dark,"Sugar, Chocolate Processed with Alkali, Cocoa Butter, Soy Lecithin, Natural and Artificial Flavors, Corn Syrup, Sugar, Hydrogenated Palm Kernel Oil and/or Palm Oil, Skim Milk, Milkfat, Lactose, Salt, Egg Whites, Natural and Artificial Flavors"
Peanut Butter M&M's,"sugar, cocoa butter, chocolate, skim milk, milk fat, lactose, peanuts, soy lecithin, salt, artificial flavors, peanut butter, sugar, partially hydrogenated palm kernel oil, cornstarch, natural flavor, salt, corn syrup, dextrin, coloring"
Werthers,"Cream, Butter, Whey, Salt, Emulsifier Soy Lecithin, Vanillin"
Sweet Tarts,"DEXTROSE, MALTODEXTRIN, MALIC ACID, CALCIUM STEARATE, NATURAL FLAVORS, BLUE 1 LAKE, BLUE 2 LAKE, RED 40 LAKE, YELLOW 5 LAKE"
100 Grand,"Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Lactose, Milkfat, Soy Lecithin, Natural Flavor,Corn Syrup, Nonfat Milk, Rice Flour, Barley Malt, Coconut Oil, Butter, Mono- and Diglycerides, Salt, Soy Lecithin, Natural Flavor"
Crunch,"Sugar, Chocolate, Cocoa Butter, Nonfat Milk, Lactose, Milkfat, Soy Lecithin, Vanillan, Rice Flour Barley Malt"
Bueno,"sugar, cocoa butter, cocoa mass, skim milk powder, anhydrous milk fat, soy, sunflower lecithin, vanillin, sugar, modified palm oil, wheat flour, hazelnuts, skim milk powder, milk powder, cocoa powder"
Lindt Lindor Truffles,"Sugar, cocoa butter, coconut oil, milk ingredients, cocoa mass, palm kernel oil, soya lecithin, barley malt extract, artificial flavour"
Milka,"cocoa butter, skimmed milk powder, cocoa mass, whey powder, milkfat, hazelnut paste, vanillin"
Pay Day,"Peanuts, sugar, corn syrup, non fat, milk, palm oil, salt, carrageenan, mono carrageenan, mono and diglycerides, egg whites, soy protein."
Life Savers Gummies,"Corn Syrup, Modified Corn Starch, Gelatin, Citric Acid, Natural and Artificial Flavors, Mineral Oil, Red 40, Yellow 5, Blue 1, Carnauba Wax."
Cookie Dough Bites," Cocoa Butter, Whole Milk Powder, Chocolate Liquor, Soy Lecithin and Vanillin, Wheat Flour, Brown Sugar, Partially Hydrogenated Palm Kernel Oil"
Mentos,"wheat glucose syrup, hydrogenated coconut oil, rice starch, natural flavors, gum arabic, sucrose esters of fatty acids, gellan gum, carnauba wax, and beeswax"
Tic Tac,"fructose, maltodextrin, peppermint essential oil, rice starch, gum arabic, magnesium salts of fatty acids, carnauba wax"
Haribo Starmix,"gelatine, citric acid, safflower, spirulina, apple, elderberry, blackcurrant, orange, kiwi, lemon, mango, passion fruit, aronia, grape, elderberry extract, beeswax, carnauba wax"
